epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.127,0.94414,2.76807,1.38178,0.43661,0.47799,0.44735,0.29222,1.07517,1.91819,1.48968,0.000300058,0.000300058,0.000300058
2,30.3789,0.98151,1.9464,1.403,0.69133,0.54326,0.61835,0.39775,1.05073,2.00535,1.55961,0.000597088,0.000597088,0.000597088
3,44.3882,0.97615,1.68855,1.38872,0.55187,0.63533,0.58802,0.35183,1.24769,1.96693,1.67559,0.000888118,0.000888118,0.000888118
4,58.1839,0.9837,1.63522,1.38838,0.72436,0.62415,0.69822,0.46519,1.04716,1.46958,1.51251,0.000882003,0.000882003,0.000882003
5,72.0237,0.94735,1.45988,1.35187,0.69046,0.68584,0.69915,0.45958,1.10664,1.42666,1.49868,0.000873004,0.000873004,0.000873004
6,85.8429,0.92401,1.39428,1.34637,0.73947,0.6672,0.73751,0.50247,1.04914,1.335,1.51365,0.000864004,0.000864004,0.000864004
7,99.665,0.91037,1.33648,1.33863,0.73968,0.67219,0.73577,0.50227,1.05574,1.29677,1.5026,0.000855005,0.000855005,0.000855005
8,113.493,0.8911,1.29938,1.32192,0.64632,0.65783,0.68189,0.4342,1.09326,1.57806,1.46768,0.000846006,0.000846006,0.000846006
9,127.345,0.86179,1.2298,1.29942,0.76997,0.75082,0.77991,0.5227,1.00265,1.23835,1.43249,0.000837007,0.000837007,0.000837007
10,141.125,0.86224,1.21681,1.30401,0.8144,0.77784,0.8366,0.54981,1.04417,1.08903,1.42827,0.000828008,0.000828008,0.000828008
11,154.973,0.84375,1.16151,1.2887,0.80596,0.69207,0.78894,0.53335,1.03632,1.18222,1.46617,0.000819009,0.000819009,0.000819009
12,168.732,0.85437,1.17695,1.2985,0.76657,0.77495,0.83317,0.58925,0.95928,1.04418,1.36814,0.00081001,0.00081001,0.00081001
13,182.472,0.81562,1.08785,1.26831,0.83572,0.7472,0.83581,0.58078,0.97211,1.09988,1.3786,0.000801011,0.000801011,0.000801011
14,196.256,0.82035,1.09888,1.2673,0.73922,0.74906,0.79227,0.55323,0.98766,1.10568,1.36989,0.000792012,0.000792012,0.000792012
15,210.037,0.81286,1.04214,1.25147,0.80469,0.80481,0.85941,0.61888,0.89384,0.92757,1.30357,0.000783013,0.000783013,0.000783013
16,223.808,0.79693,1.03092,1.25832,0.85779,0.74472,0.85295,0.61827,0.90857,0.94318,1.32869,0.000774013,0.000774013,0.000774013
17,237.629,0.78812,1.02048,1.2484,0.87214,0.80359,0.88084,0.63004,0.90678,0.89834,1.31974,0.000765014,0.000765014,0.000765014
18,251.471,0.76441,0.98689,1.23128,0.86378,0.83057,0.89454,0.64866,0.915,0.91165,1.31224,0.000756015,0.000756015,0.000756015
19,265.335,0.77643,0.97804,1.23446,0.84984,0.81062,0.87152,0.62657,0.94537,0.88104,1.32516,0.000747016,0.000747016,0.000747016
20,279.152,0.75183,0.93288,1.22316,0.81763,0.82737,0.84889,0.62315,0.87063,0.91707,1.29277,0.000738017,0.000738017,0.000738017
21,292.95,0.75282,0.94562,1.22456,0.86564,0.7893,0.86687,0.63441,0.87194,0.83525,1.29068,0.000729018,0.000729018,0.000729018
22,306.859,0.74627,0.91633,1.21621,0.88529,0.86513,0.91256,0.69117,0.80883,0.76407,1.21173,0.000720019,0.000720019,0.000720019
23,320.671,0.75313,0.8999,1.22423,0.90411,0.82198,0.90788,0.6685,0.90179,0.79112,1.27248,0.00071102,0.00071102,0.00071102
24,334.496,0.73768,0.89407,1.20484,0.8715,0.77533,0.88532,0.65475,0.83114,0.79396,1.26445,0.000702021,0.000702021,0.000702021
25,348.245,0.71804,0.87073,1.19666,0.88749,0.85098,0.90465,0.67424,0.83683,0.7507,1.25053,0.000693022,0.000693022,0.000693022
26,361.952,0.73088,0.87238,1.20785,0.84974,0.86472,0.90107,0.68533,0.81285,0.76549,1.21937,0.000684022,0.000684022,0.000684022
27,375.695,0.72186,0.85564,1.20337,0.86663,0.8287,0.90129,0.66845,0.85302,0.78038,1.26859,0.000675023,0.000675023,0.000675023
28,389.584,0.71486,0.85864,1.1957,0.84757,0.8465,0.9042,0.66715,0.84309,0.82116,1.25409,0.000666024,0.000666024,0.000666024
29,403.411,0.70281,0.84857,1.18441,0.86192,0.83477,0.89463,0.6504,0.87561,0.80042,1.28368,0.000657025,0.000657025,0.000657025
30,417.285,0.71601,0.85298,1.20035,0.89138,0.86722,0.91096,0.68162,0.83562,0.73891,1.22509,0.000648026,0.000648026,0.000648026
31,431.077,0.71332,0.83303,1.19315,0.88873,0.84088,0.91254,0.68375,0.88189,0.74764,1.29818,0.000639027,0.000639027,0.000639027
32,444.869,0.70167,0.81463,1.18464,0.86567,0.82626,0.88939,0.69184,0.77236,0.75985,1.19341,0.000630028,0.000630028,0.000630028
33,458.708,0.69619,0.81096,1.18059,0.87677,0.86641,0.91579,0.70673,0.77606,0.70195,1.19093,0.000621029,0.000621029,0.000621029
34,472.546,0.68126,0.80224,1.16954,0.88968,0.86218,0.91091,0.70071,0.78817,0.69855,1.18711,0.00061203,0.00061203,0.00061203
35,486.29,0.68289,0.77426,1.16814,0.8562,0.8883,0.92822,0.70866,0.79159,0.64949,1.19716,0.000603031,0.000603031,0.000603031
36,500.006,0.68651,0.78305,1.17525,0.86708,0.87981,0.92338,0.71641,0.77517,0.67799,1.18752,0.000594031,0.000594031,0.000594031
37,513.76,0.67539,0.76776,1.17154,0.86105,0.84768,0.8961,0.6944,0.79397,0.73718,1.18653,0.000585032,0.000585032,0.000585032
38,527.574,0.66456,0.77033,1.15626,0.88797,0.86485,0.92873,0.71426,0.78641,0.66674,1.20756,0.000576033,0.000576033,0.000576033
39,541.489,0.67216,0.77224,1.16225,0.90715,0.8678,0.9188,0.70359,0.79516,0.67512,1.19323,0.000567034,0.000567034,0.000567034
40,555.282,0.67622,0.75215,1.1679,0.88057,0.8852,0.92551,0.71373,0.79529,0.66255,1.20397,0.000558035,0.000558035,0.000558035
41,569.038,0.66335,0.74975,1.16361,0.87728,0.88899,0.92578,0.71788,0.79057,0.64142,1.18065,0.000549036,0.000549036,0.000549036
42,582.795,0.65601,0.73915,1.15615,0.85969,0.86305,0.91644,0.70097,0.80693,0.70009,1.19637,0.000540037,0.000540037,0.000540037
