epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.31,0.94748,2.73682,1.38492,0.4788,0.54349,0.53485,0.35553,1.07509,1.86164,1.49432,0.000300432,0.000300432,0.000300432
2,33.1707,0.98966,1.90624,1.40258,0.69213,0.51711,0.62043,0.38514,1.20201,1.76458,1.67373,0.000597458,0.000597458,0.000597458
3,48.6932,0.98624,1.74984,1.38821,0.59151,0.60449,0.58944,0.3698,1.16458,1.76119,1.62133,0.000888485,0.000888485,0.000888485
4,64.0832,0.98212,1.62133,1.37647,0.71195,0.70779,0.74219,0.47236,1.12156,1.52692,1.56858,0.000882003,0.000882003,0.000882003
5,79.4601,0.96586,1.51256,1.36679,0.60215,0.60467,0.61461,0.38296,1.17042,1.565,1.60773,0.000873004,0.000873004,0.000873004
6,94.9865,0.9441,1.435,1.3554,0.68668,0.57897,0.64337,0.40098,1.20747,1.54889,1.66925,0.000864004,0.000864004,0.000864004
7,110.339,0.90919,1.35326,1.33661,0.64555,0.71679,0.72301,0.46842,1.08955,1.38224,1.49578,0.000855005,0.000855005,0.000855005
8,125.669,0.90741,1.30801,1.32785,0.688,0.72088,0.76358,0.52094,1.03232,1.27494,1.42902,0.000846006,0.000846006,0.000846006
9,140.977,0.87891,1.24694,1.31712,0.77754,0.77162,0.82574,0.56831,1.01441,1.08606,1.42142,0.000837007,0.000837007,0.000837007
10,156.327,0.87213,1.2107,1.30378,0.76955,0.71806,0.79772,0.54793,1.02599,1.15217,1.44855,0.000828008,0.000828008,0.000828008
11,171.65,0.85993,1.17499,1.29216,0.77688,0.75207,0.79762,0.56496,0.95488,1.22098,1.36597,0.000819009,0.000819009,0.000819009
12,186.928,0.83977,1.14014,1.27261,0.76737,0.747,0.78016,0.53846,0.997,1.23245,1.41831,0.00081001,0.00081001,0.00081001
13,202.253,0.82155,1.1044,1.26279,0.76895,0.78018,0.82222,0.57922,0.95671,1.042,1.35454,0.000801011,0.000801011,0.000801011
14,217.579,0.82218,1.08509,1.26991,0.77776,0.77831,0.82141,0.59542,0.93038,1.02554,1.34113,0.000792012,0.000792012,0.000792012
15,233.043,0.80587,1.0639,1.25843,0.82216,0.75415,0.83618,0.57178,0.99728,1.09247,1.41198,0.000783013,0.000783013,0.000783013
16,248.396,0.80935,1.03447,1.2599,0.8452,0.84096,0.8805,0.63714,0.91257,0.96709,1.30334,0.000774013,0.000774013,0.000774013
17,263.772,0.78398,1.00195,1.24146,0.8077,0.81043,0.8533,0.62039,0.91183,0.94728,1.30847,0.000765014,0.000765014,0.000765014
