epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3066,0.97741,2.61401,1.41392,0.36125,0.45109,0.43407,0.27389,1.2837,2.00965,1.7734,0.000413075,0.000413075,0.000413075
2,20.977,1.01923,1.96983,1.43347,0.34241,0.52835,0.36937,0.2093,1.26127,3.28243,1.81859,0.000821527,0.000821527,0.000821527
3,30.4612,1.02836,1.83789,1.41731,0.482,0.41217,0.42444,0.25462,1.32453,2.04584,1.67081,0.00122173,0.00122173,0.00122173
4,39.965,1.02964,1.72788,1.41323,0.52238,0.4799,0.47658,0.26286,1.26397,2.24587,1.63822,0.00121287,0.00121287,0.00121287
5,49.4237,0.98321,1.69185,1.38724,0.56276,0.59052,0.62052,0.37579,1.17686,1.74168,1.53079,0.0012005,0.0012005,0.0012005
6,58.8355,0.96867,1.63529,1.38605,0.59471,0.61406,0.58131,0.33791,1.16546,1.73268,1.54729,0.00118812,0.00118812,0.00118812
7,68.3791,0.9331,1.53913,1.37186,0.61609,0.63173,0.63882,0.39601,1.19985,1.71004,1.60088,0.00117575,0.00117575,0.00117575
8,77.8257,0.95557,1.50492,1.36658,0.70224,0.5822,0.66119,0.40181,1.15517,1.57841,1.51812,0.00116337,0.00116337,0.00116337
9,87.3321,0.92438,1.47179,1.36042,0.72445,0.69602,0.75285,0.45792,1.14088,1.36571,1.52227,0.001151,0.001151,0.001151
10,96.744,0.88709,1.41283,1.3197,0.75459,0.64064,0.75674,0.48512,1.09453,1.39129,1.46893,0.00113863,0.00113863,0.00113863
11,106.211,0.88984,1.31758,1.31809,0.6714,0.64845,0.71761,0.44229,1.18949,1.44374,1.49246,0.00112625,0.00112625,0.00112625
12,115.647,0.88379,1.32862,1.30196,0.68004,0.67431,0.71198,0.47974,1.08197,1.32044,1.43456,0.00111388,0.00111388,0.00111388
13,125.065,0.86474,1.29099,1.29915,0.7029,0.74811,0.73951,0.50617,1.02483,1.14214,1.41547,0.0011015,0.0011015,0.0011015
14,134.503,0.85444,1.27415,1.29116,0.75703,0.6812,0.72669,0.48195,1.0612,1.23292,1.37779,0.00108913,0.00108913,0.00108913
15,143.882,0.8465,1.21403,1.29712,0.62625,0.65951,0.65221,0.43501,1.04914,1.30505,1.38714,0.00107675,0.00107675,0.00107675
16,153.336,0.85401,1.26453,1.30693,0.76427,0.71485,0.79916,0.51894,1.04388,1.17032,1.37577,0.00106437,0.00106437,0.00106437
17,162.788,0.83647,1.18748,1.27803,0.78326,0.7886,0.81228,0.55251,1.03643,1.09923,1.3766,0.001052,0.001052,0.001052
18,172.223,0.82336,1.17172,1.26999,0.74136,0.77746,0.79784,0.55296,1.01561,1.07688,1.35887,0.00103962,0.00103962,0.00103962
19,181.674,0.81868,1.15001,1.26929,0.83301,0.79537,0.86276,0.59263,0.98503,0.99623,1.31898,0.00102725,0.00102725,0.00102725
20,191.087,0.81883,1.13916,1.27181,0.73563,0.78006,0.79014,0.55263,1.01136,1.07486,1.33692,0.00101488,0.00101488,0.00101488
21,200.492,0.80247,1.13019,1.26418,0.8653,0.75244,0.84759,0.59332,0.98724,0.98725,1.30662,0.0010025,0.0010025,0.0010025
22,209.913,0.81395,1.10756,1.2695,0.78144,0.80328,0.83843,0.59587,1.02818,0.99101,1.36252,0.000990125,0.000990125,0.000990125
23,219.378,0.79366,1.13674,1.25964,0.84769,0.77004,0.83866,0.60494,0.9315,0.92605,1.29519,0.00097775,0.00097775,0.00097775
24,228.815,0.77828,1.09748,1.24458,0.81747,0.79966,0.86081,0.5955,0.98938,0.96501,1.31385,0.000965375,0.000965375,0.000965375
25,238.244,0.78184,1.07184,1.24339,0.86242,0.79886,0.85789,0.60371,0.95703,0.9697,1.29832,0.000953,0.000953,0.000953
26,247.756,0.76939,1.01672,1.23399,0.83001,0.79401,0.84516,0.59988,0.92094,0.91299,1.26502,0.000940625,0.000940625,0.000940625
27,257.126,0.76555,1.04796,1.23732,0.8217,0.80135,0.87569,0.62131,0.93743,0.8571,1.28952,0.00092825,0.00092825,0.00092825
28,266.5,0.76747,1.00633,1.23437,0.84174,0.7777,0.84332,0.58824,0.99202,0.96178,1.2926,0.000915875,0.000915875,0.000915875
29,275.973,0.74674,0.99756,1.23052,0.84115,0.79762,0.87129,0.60997,1.00514,0.88302,1.32228,0.0009035,0.0009035,0.0009035
30,285.404,0.73536,0.96783,1.2115,0.82808,0.81133,0.85316,0.616,0.96586,0.9087,1.28926,0.000891125,0.000891125,0.000891125
31,294.878,0.75601,1.00577,1.21461,0.82916,0.77451,0.82626,0.59055,0.92253,0.94201,1.25056,0.00087875,0.00087875,0.00087875
32,304.371,0.7218,0.96788,1.20575,0.78745,0.82264,0.85574,0.6278,0.89562,0.93074,1.25373,0.000866375,0.000866375,0.000866375
33,313.82,0.71868,0.97355,1.20572,0.82417,0.7611,0.83663,0.58614,1.02036,0.97749,1.33808,0.000854,0.000854,0.000854
34,323.171,0.74294,0.96082,1.20874,0.84099,0.80617,0.87442,0.63918,0.93904,0.85424,1.25283,0.000841625,0.000841625,0.000841625
35,332.598,0.74081,0.93076,1.20572,0.89828,0.82067,0.89512,0.66781,0.92122,0.79053,1.24863,0.00082925,0.00082925,0.00082925
36,342.08,0.74188,0.93697,1.22215,0.813,0.80993,0.84904,0.62425,0.90141,0.89708,1.22918,0.000816875,0.000816875,0.000816875
